"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"rapat gak guna","2059","44","2025-04-11T10:04:37.000Z","rightlife112","https://www.tiktok.com/@partaigerindra/video/7491960009132182790","7346620300165776390","7491994312239547154","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/70854c02bb990077ae5b3a281a05d5f9~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=e7de3d49&x-expires=1756648800&x-signature=WlMiBXMOdBCcll%2FCgn%2B%2Flj9Dl4w%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"kok admin gerindra kini udah gak kayak dulu lagii?","1568","60","2025-04-11T10:12:56.000Z","putoijoo0","https://www.tiktok.com/@partaigerindra/video/7491960009132182790","6943169261369361410","7491996453553931029","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d43667dc3ea38d0467d116df24e3633f~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=01f74119&x-expires=1756648800&x-signature=qnq4UOYGV0AoO8R6b4HoFnQpQQM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"#SaveRajaAmpat
#SelamatkanCagarAlamPAPUA✊
#PAPUABukanTanahKosong🙏","6","1","2025-06-04T09:45:37.000Z","frdsyyaa__","https://www.tiktok.com/@partaigerindra/video/7491960009132182790","7484195686159598600","7512028058099630856","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7b6373b81d8c6939dbe76d29bb785814~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=8707b4b3&x-expires=1756648800&x-signature=1Y40nfEAqaBDxloTabaHIt3sovc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"Nyesel bgt milih Prabowo🥲","24","5","2025-04-22T22:18:53.000Z","fygfghugg","https://www.tiktok.com/@partaigerindra/video/7491960009132182790","7090864555324621851","7496265401136120583","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/a5dddd20eb476f3c2fb43e04d8a4ded2~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=d901c1ba&x-expires=1756648800&x-signature=RJSmqMG%2BJUQvYsupVtirfLuzBAU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"ubur-ubur ikan lele
salah pilih presiden le.... 🤣","569","26","2025-04-12T13:30:55.000Z","bekas_pulung","https://www.tiktok.com/@partaigerindra/video/7491960009132182790","7303238193012409350","7492418572733285138","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6ed19abfbf0af6203379c54043b934a5~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=25bf5e35&x-expires=1756648800&x-signature=%2FcnZboSGRh8rxw%2FGmV6uZ41ywzE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"dapur MBG tidak bayar kemana duitnya?","966","22","2025-04-16T12:51:07.000Z","gartstudio1","https://www.tiktok.com/@partaigerindra/video/7491960009132182790","7406160850485019654","7493892633154257672","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/dff724fea12655b009318682c12d8619~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=3c1b68d9&x-expires=1756648800&x-signature=26p4tE1vU1Ca8ljDKx50C5iE2GA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"pada nyesel kah pilih Prabowo","951","84","2025-04-13T09:34:55.000Z","sannn515771","https://www.tiktok.com/@partaigerindra/video/7491960009132182790","6652997548629147650","7492728856214930183","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f9c62b14cd5935aa47f9040dbd707f8e~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=7757d021&x-expires=1756648800&x-signature=9%2F14prJ%2F4j2STst31xLU9Mq7P58%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"Prabowo P nya apaa","50","27","2025-04-11T15:26:06.000Z","hansenizme","https://www.tiktok.com/@partaigerindra/video/7491960009132182790","6985912031169856513","7492077193465004820","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/569d19848bebd9a0dd863e8aff0fcc81~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=792dfc84&x-expires=1756648800&x-signature=9Xm0mFo3oZ0ldRGPhNWWNAUx5O8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"19 jta lpngn kerjanya mna min? kan jnji wktu debat capres","800","126","2025-04-11T08:39:54.000Z","zkrbe","https://www.tiktok.com/@partaigerindra/video/7491960009132182790","7138929957963138074","7491972488432993042","https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=013356b6&x-expires=1756648800&x-signature=AQnF7BTqK0dN%2BNhF99uCIDyB8Vw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
"@f:ke akun Gerindra spam ini#SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE RAJA AMPAT #SAVE","0","0","2025-06-08T09:19:36.000Z","ikmwaa","https://www.tiktok.com/@partaigerindra/video/7491960009132182790","7467517808148202497","7513505689782076167","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0a8d43a07c1af3840a30f674e88f4a91~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=3a46a4cd&x-expires=1756648800&x-signature=bjZlR5VqfUKE6lRuvO48Ec7DRIg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a"
