"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"Kluivert out
welcome Jesus casas","2819","70","2025-10-13T05:02:59.000Z","afif98787","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7514564300200969234","7560567372484166408","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/3b11898faa3e16c6ca8ac27248c6d385~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=59fd625e&x-expires=1760443200&x-signature=nHubeVPbPxV%2B%2FrogLS1ncjV5aUw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"seriusan gada evaluasi ? hahahah lawak seeeeee federasinya","4746","24","2025-10-13T03:57:11.000Z","_mahesptr","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","6938751756517360641","7560550403186148103","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c5296cfff31391b862bbc80d6ee20877~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=bd368cbf&x-expires=1760443200&x-signature=51fAYirvkLxt1dnotvSt%2BGIfR5A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"𝗙𝘂𝗹𝗹 𝘀𝗲𝗻𝘆𝘂𝗺 𝗵𝗮𝗯𝗶𝘀 𝘄𝗱 𝟯𝟰𝗷𝘁 𝗯𝗶𝗹𝗲𝗸🤙🏻🤙🏻🔥🔥😎","315","1","2025-10-13T08:52:40.000Z","hanna.kamilia","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7490519332309517330","7560626536153727745","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/cd12341023d263cb623d560cbd30ddaf~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c01921ce&x-expires=1760443200&x-signature=SzemjD%2FEfqoE78ep3KKSqwXLz8s%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Full senyum habis wd 55jt bilekk😇😍","63","13","2025-10-13T06:08:46.000Z","lisa.dawiya","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7462656708411442177","7560584316709094164","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/59baa1e0ba765f358bc87db12eddce3c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3d13f9aa&x-expires=1760443200&x-signature=LeCrOiy4vbq18ajKI6qOnOCz3%2FE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Gua yang Habis wd 𝟓𝟓𝐣𝐭 bilek📈🚀🚀💯🤭","221","5","2025-10-13T08:21:55.000Z","gemini05938","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7450402310747128848","7560618634960962324","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/9c35d65b10f0d3a215fe21e9901ffb86~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=383ece82&x-expires=1760443200&x-signature=wxWhXFQTiqFh9EyG9aU4O1a7Jhs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"WHERE IS THE COACH? WE STAND WITH THE PLAYERS ALWAYS","77","0","2025-10-13T04:04:21.000Z","alfarabimitraqurban","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7082029586016404482","7560552254463132437","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/0f6ddafbb7c9f58ecd5cdb1eb6577247~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=40cd4363&x-expires=1760443200&x-signature=n8cppF%2Fetp144pfksw1Cz7NSEUA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"POV : dari modal 1jt bisa dapat motor baru broo🤣🤲","344","6","2025-10-13T05:29:10.000Z","san15_1.1","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7209344225421411330","7560574108419244820","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/0d435b35a851743d088516e7170f9b3f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3ae4b617&x-expires=1760443200&x-signature=LIneioPQpTwbWtEv4FHgVOqE2oU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"terimaksih, telah memilih indonesia🥺🤍","274","1","2025-10-13T05:19:23.000Z","inimanda7","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","6958313681404036101","7560571616255017746","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/68765200a10c9bfecb7c272c800abdf6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=19268609&x-expires=1760443200&x-signature=lC3Z6rCRtx9gckF72cWHGPsGSEc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Gua yg habis wd 45jt bilekk🤪🤭🤭🥰","19","7","2025-10-13T06:10:02.000Z","_ywda_ya","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","6972074342394659842","7560584652685132562","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/669173cde73164ef288dba9a0e216d04~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4b8e7596&x-expires=1760443200&x-signature=1uW635OMnzTlEaDZyPg0XyM19mY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"yg membuat mereka gagal pildun,adalah pssi,exco pssi,towel yg brisik,trakhir pelatih yg pinter kebablasan coba coba formasi lawan arab","20","0","2025-10-13T05:54:17.000Z","nia.damanik0","https://www.tiktok.com/@timnasindonesia/video/7560548515588377867","7304689236362527749","7560580595480118033","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/540515bb4c44059ec1d1ef9e68af5b7e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=21493c35&x-expires=1760443200&x-signature=CJMfjSfOuJ%2F5n2bAjyblTS91ANU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
